"X0","X1"
"C00002","C00334"
"C00002","C00346"
"C00002","C00352"
"C00002","C00354"
"C00002","C00357"
"C00002","C00361"
"C00002","C00362"
"C00002","C00363"
"C00002","C00364"
"C00002","C00365"
"C00002","C00378"
"C00002","C00379"
"C00002","C00386"
"C00002","C00387"
"C00002","C00388"
"C00002","C00397"
"C00002","C00406"
"C00002","C00407"
"C00002","C00411"
"C00002","C00413"
"C00002","C00415"
"C00002","C00423"
"C00002","C00445"
"C00002","C00446"
"C00002","C00447"
"C00002","C00448"
"C00002","C00455"
"C00002","C00458"
"C00002","C00459"
"C00002","C00460"
"C00002","C00482"
"C00002","C00483"
"C00002","C00493"
"C00002","C00498"
"C00002","C00503"
"C00002","C00508"
"C00002","C00512"
"C00002","C00522"
"C00002","C00526"
"C00002","C00534"
"C00002","C00536"
"C00002","C00540"
"C00002","C00566"
"C00002","C00575"
"C00002","C00588"
"C00002","C00618"
"C00002","C00624"
"C00002","C00627"
"C00002","C00645"
"C00002","C00647"
"C00002","C00651"
"C00002","C00655"
"C00002","C00665"
"C00002","C00668"
"C00002","C00669"
"C00002","C00673"
"C00002","C00680"
"C00002","C00692"
"C00002","C00695"
"C00002","C00705"
"C00002","C00738"
"C00002","C00739"
"C00002","C00740"
"C00002","C00750"
"C00002","C00794"
"C00002","C00795"
"C00002","C00797"
"C00002","C00805"
"C00002","C00825"
"C00002","C00831"
"C00002","C00836"
"C00002","C00857"
"C00002","C00861"
"C00002","C00864"
"C00002","C00876"
"C00002","C00881"
"C00002","C00882"
"C00002","C00884"
"C00002","C00921"
"C00002","C00954"
"C00002","C00956"
"C00002","C00984"
"C00002","C00989"
"C00002","C00993"
"C00002","C01010"
"C00002","C01013"
"C00002","C01019"
"C00002","C01037"
"C00002","C01042"
"C00002","C01043"
"C00002","C01047"
"C00002","C01050"
"C00002","C01063"
"C00002","C01081"
"C00002","C01094"
"C00002","C01096"
"C00002","C01097"
"C00002","C01101"
"C00002","C01102"
"C00002","C01107"
"C00002","C01109"
"C00002","C01112"
"C00002","C01120"
"C00002","C01131"
"C00002","C01132"
"C00002","C01134"
"C00002","C01138"
"C00002","C01143"
"C00002","C01151"
"C00002","C01152"
"C00002","C01159"
"C00002","C01168"
"C00002","C01172"
"C00002","C01182"
"C00002","C01198"
"C00002","C01204"
"C00002","C01212"
"C00002","C01213"
"C00002","C01214"
"C00002","C01216"
"C00002","C01217"
"C00002","C01218"
"C00002","C01221"
"C00002","C01243"
"C00002","C01245"
"C00002","C01260"
"C00002","C01262"
"C00002","C01272"
"C00002","C01279"
"C00002","C01280"
"C00002","C01283"
"C00002","C01284"
"C00002","C01286"
"C00002","C01298"
"C00002","C01344"
"C00002","C01345"
"C00002","C01346"
"C00002","C01352"
"C00002","C01487"
"C00002","C01494"
"C00002","C01540"
"C00002","C01726"
"C00002","C01794"
"C00002","C01801"
"C00002","C01822"
"C00002","C01879"
"C00002","C01894"
"C00002","C01906"
"C00002","C01909"
"C00002","C01925"
"C00002","C01959"
"C00002","C02022"
"C00002","C02067"
"C00002","C02076"
"C00002","C02090"
"C00002","C02139"
"C00002","C02170"
"C00002","C02191"
"C00002","C02247"
"C00002","C02249"
"C00002","C02265"
"C00002","C02306"
"C00002","C02356"
"C00002","C02371"
"C00002","C02405"
"C00002","C02419"
"C00002","C02527"
"C00002","C02528"
"C00002","C02565"
"C00002","C02574"
"C00002","C02632"
"C00002","C02656"
"C00002","C02657"
"C00002","C02713"
"C00002","C02726"
"C00002","C02730"
"C00002","C02734"
"C00002","C02739"
"C00002","C02802"
"C00002","C02855"
"C00002","C02876"
"C00002","C02880"
"C00002","C02895"
"C00002","C02949"
"C00002","C02962"
"C00002","C02965"
"C00002","C02985"
"C00002","C03028"
"C00002","C03064"
"C00002","C03069"
"C00002","C03082"
"C00002","C03089"
"C00002","C03090"
"C00002","C03115"
"C00002","C03136"
"C00002","C03149"
"C00002","C03150"
"C00002","C03153"
"C00002","C03160"
"C00002","C03175"
"C00002","C03194"
"C00002","C03204"
"C00002","C03231"
"C00002","C03281"
"C00002","C03287"
"C00002","C03291"
"C00002","C03373"
"C00002","C03401"
"C00002","C03462"
"C00002","C03479"
"C00002","C03483"
"C00002","C03492"
"C00002","C03494"
"C00002","C03495"
"C00002","C03516"
"C00002","C03604"
"C00002","C03606"
"C00002","C03624"
"C00002","C03731"
"C00002","C03754"
"C00002","C03785"
"C00002","C03838"
"C00002","C03906"
"C00002","C03955"
"C00002","C03997"
"C00002","C04006"
"C00002","C04030"
"C00002","C04037"
"C00002","C04058"
"C00002","C04071"
"C00002","C04076"
"C00002","C04079"
"C00002","C04122"
"C00002","C04133"
"C00002","C04138"
"C00002","C04187"
"C00002","C04188"
"C00002","C04211"
"C00002","C04242"
"C00002","C04257"
"C00002","C04294"
"C00002","C04327"
"C00002","C04352"
"C00002","C04376"
"C00002","C04477"
"C00002","C04503"
"C00002","C04520"
"C00002","C04534"
"C00002","C04544"
"C00002","C04554"
"C00002","C04556"
"C00002","C04628"
"C00002","C04640"
"C00002","C04644"
"C00002","C04646"
"C00002","C04722"
"C00002","C04751"
"C00002","C04752"
"C00002","C04780"
"C00002","C04823"
"C00002","C04856"
"C00002","C04877"
"C00002","C04882"
"C00002","C04899"
"C00002","C04919"
"C00002","C04932"
"C00002","C05172"
"C00002","C05195"
"C00002","C05335"
"C00002","C05337"
"C00002","C05340"
"C00002","C05345"
"C00002","C05378"
"C00002","C05380"
"C00002","C05382"
"C00002","C05385"
"C00002","C05554"
"C00002","C05556"
"C00002","C05560"
"C00002","C05619"
"C00002","C05668"
"C00002","C05686"
"C00002","C05696"
"C00002","C05697"
"C00002","C05730"
"C00002","C05765"
"C00002","C05773"
"C00002","C05774"
"C00002","C05777"
"C00002","C05821"
"C00002","C05892"
"C00002","C05893"
"C00002","C05894"
"C00002","C05921"
"C00002","C05924"
"C00002","C05928"
"C00002","C05945"
"C00002","C05983"
"C00002","C05993"
"C00002","C06024"
"C00002","C06104"
"C00002","C06124"
"C00002","C06189"
"C00002","C06222"
"C00002","C06322"
"C00002","C06387"
"C00002","C06397"
"C00002","C06399"
"C00002","C06441"
"C00002","C06473"
"C00002","C06503"
"C00002","C06504"
"C00002","C06505"
"C00002","C06506"
"C00002","C06507"
"C00002","C06508"
"C00002","C06509"
"C00002","C06625"
"C00002","C06655"
"C00002","C06656"
"C00002","C06670"
"C00002","C06671"
"C00002","C06688"
"C00002","C06802"
"C00002","C07113"
"C00002","C07114"
"C00002","C07118"
"C00002","C07160"
"C00002","C07576"
"C00002","C07836"
"C00002","C07838"
"C00002","C08057"
"C00002","C08276"
"C00002","C08312"
"C00002","C08491"
"C00002","C08511"
"C00002","C09332"
"C00002","C09822"
"C00002","C09823"
"C00002","C11038"
"C00002","C11062"
"C00002","C11174"
"C00002","C11351"
"C00002","C11405"
"C00002","C11407"
"C00002","C11435"
"C00002","C11436"
"C00002","C11472"
"C00002","C11526"
"C00002","C11555"
"C00002","C11736"
"C00002","C11832"
"C00002","C11838"
"C00002","C11924"
"C00002","C11929"
"C00002","C11943"
"C00002","C11945"
"C00002","C12147"
"C00002","C12203"
"C00002","C12212"
"C00002","C12213"
"C00002","C12270"
"C00002","C12323"
"C00002","C12468"
"C00002","C12477"
"C00002","C12479"
"C00002","C14143"
"C00002","C14899"
"C00002","C15613"
"C00002","C15667"
"C00002","C15996"
"C00002","C16138"
"C00002","C16241"
"C00002","C16267"
"C00002","C16268"
"C00002","C16327"
"C00002","C16424"
"C00002","C16462"
"C00002","C16464"
"C00002","C16488"
"C00002","C16489"
"C00002","C16562"
"C00002","C16563"
"C00002","C16565"
"C00002","C16566"
"C00002","C16567"
"C00002","C16593"
"C00002","C16594"
"C00002","C16616"
"C00002","C16633"
"C00002","C16634"
"C00002","C17345"
"C00002","C17355"
"C00002","C17556"
"C00002","C17558"
"C00002","C17696"
"C00002","C17697"
"C00002","C18000"
"C00002","C18001"
"C00002","C18026"
"C00002","C18055"
"C00002","C18060"
"C00002","C18152"
"C00002","C18153"
"C00002","C18154"
"C00002","C18802"
"C00002","C19151"
"C00002","C19694"
"C00002","C19719"
"C00002","C19720"
"C00002","C19769"
"C00002","C19770"
"C00002","C19771"
"C00002","C19848"
"C00002","C19850"
"C00002","C19877"
"C00002","C19878"
"C00002","C19879"
"C00002","C20190"
"C00002","C20199"
"C00002","C20237"
"C00002","C20245"
"C00002","C20248"
"C00002","C20271"
"C00002","C20333"
"C00002","C20345"
"C00002","C20396"
"C00002","C20422"
"C00002","C20563"
"C00002","C20565"
"C00002","C20579"
"C00002","C20637"
"C00002","C20641"
"C00002","C20651"
"C00002","C20656"
"C00002","C20679"
"C00002","C20684"
"C00002","C20690"
"C00002","C20699"
"C00002","C20750"
"C00002","C20775"
"C00002","C20776"
"C00002","C20830"
"C00002","C20831"
"C00002","C20838"
"C00002","C20840"
"C00002","C20841"
"C00002","C20842"
"C00002","C20843"
"C00002","C20870"
"C00002","C20910"
"C00002","C20917"
"C00002","C20918"
"C00002","C20925"
"C00002","C20926"
"C00002","C20959"
"C00002","C20961"
"C00002","C20962"
"C00002","C20963"
"C00002","C20965"
"C00002","C20966"
"C00002","C20967"
"C00002","C21015"
"C00002","C21016"
"C00002","C21027"
"C00002","C21076"
"C00002","C21096"
"C00002","C21156"
"C00002","C21294"
"C00002","C21308"
"C00002","C21312"
"C00002","C21326"
"C00002","C21441"
"C00002","C21445"
"C00002","C21446"
"C00002","C21447"
"C00002","C21448"
"C00002","C21497"
"C00002","C21510"
"C00002","C21511"
"C00002","C21512"
"C00002","C21585"
"C00002","C21610"
"C00002","C21611"
"C00002","C21612"
"C00002","C21649"
"C00002","C21748"
"C00002","C21749"
"C00002","C21750"
"C00002","C21751"
"C00002","C21785"
"C00002","C21808"
"C00002","C21851"
"C00002","C21877"
"C00002","C21878"
"C00002","C00108"
"C00002","C02370"
"C00002","C00156"
"C00003","C00004"
"C00003","C00005"
"C00003","C00006"
"C00003","C00008"
"C00003","C00009"
"C00003","C00010"
"C00003","C00013"
"C00003","C00016"
"C00003","C00020"
"C00003","C00022"
"C00003","C00024"
"C00003","C00025"
"C00003","C00026"
"C00003","C00029"
"C00003","C00031"
"C00003","C00033"
"C00003","C00036"
"C00003","C00037"
"C00003","C00041"
"C00003","C00042"
"C00003","C00043"
"C00003","C00047"
"C00003","C00049"
"C00003","C00051"
"C00003","C00052"
"C00003","C00058"
"C00003","C00062"
"C00003","C00064"
"C00003","C00065"
"C00003","C00072"
"C00003","C00078"
"C00003","C00079"
"C00003","C00082"
"C00003","C00084"
"C00003","C00085"
"C00003","C00090"
"C00003","C00091"
"C00003","C00092"
"C00003","C00093"
"C00003","C00094"
"C00003","C00095"
"C00003","C00096"
"C00003","C00097"
"C00003","C00100"
"C00003","C00101"
"C00003","C00106"
"C00003","C00109"
"C00003","C00111"
"C00003","C00114"
"C00003","C00116"
"C00003","C00118"
"C00003","C00122"
"C00003","C00123"
"C00003","C00124"
"C00003","C00127"
"C00003","C00132"
"C00003","C00135"
"C00003","C00136"
"C00003","C00137"
"C00003","C00141"
"C00003","C00143"
"C00003","C00146"
"C00003","C00148"
"C00003","C00149"
"C00003","C00153"
"C00003","C00154"
"C00003","C00159"
"C00003","C00160"
"C00003","C00164"
"C00003","C00166"
"C00003","C00167"
"C00003","C00178"
"C00003","C00180"
"C00003","C00181"
"C00003","C00183"
"C00003","C00184"
"C00003","C00186"
"C00003","C00191"
"C00003","C00193"
"C00003","C00196"
"C00003","C00197"
"C00003","C00198"
"C00003","C00199"
"C00003","C00203"
"C00003","C00221"
"C00003","C00222"
"C00003","C00223"
"C00003","C00230"
"C00003","C00231"
"C00003","C00232"
"C00003","C00233"
"C00003","C00236"
"C00003","C00245"
"C00003","C00246"
"C00003","C00247"
"C00003","C00248"
"C00003","C00249"
"C00003","C00250"
"C00003","C00254"
"C00003","C00256"
"C00003","C00258"
"C00003","C00259"
"C00003","C00261"
"C00003","C00266"
"C00003","C00268"
"C00003","C00272"
"C00003","C00279"
"C00003","C00280"
"C00003","C00301"
"C00003","C00309"
"C00003","C00310"
"C00003","C00311"
"C00003","C00312"
"C00003","C00315"
"C00003","C00322"
"C00003","C00323"
"C00003","C00327"
"C00003","C00331"
"C00003","C00332"
"C00003","C00333"
"C00003","C00345"
"C00003","C00349"
"C00003","C00355"
"C00003","C00356"
"C00003","C00366"
"C00003","C00376"
"C00003","C00379"
"C00003","C00383"
"C00003","C00385"
"C00003","C00392"
"C00003","C00407"
"C00003","C00410"
"C00003","C00414"
"C00003","C00415"
"C00003","C00418"
"C00003","C00423"
"C00003","C00424"
"C00003","C00429"
"C00003","C00433"
"C00003","C00440"
"C00003","C00441"
"C00003","C00445"
"C00003","C00450"
"C00003","C00455"
"C00003","C00466"
"C00003","C00468"
"C00003","C00469"
"C00003","C00473"
"C00003","C00474"
"C00003","C00477"
"C00003","C00479"
"C00003","C00482"
"C00003","C00487"
"C00003","C00489"
"C00003","C00491"
"C00003","C00493"
"C00003","C00504"
"C00003","C00506"
"C00003","C00508"
"C00003","C00512"
"C00003","C00514"
"C00003","C00517"
"C00003","C00522"
"C00003","C00523"
"C00003","C00527"
"C00003","C00530"
"C00003","C00532"
"C00003","C00535"
"C00003","C00539"
"C00003","C00544"
"C00003","C00546"
"C00003","C00552"
"C00003","C00555"
"C00003","C00556"
"C00003","C00557"
"C00003","C00558"
"C00003","C00565"
"C00003","C00576"
"C00003","C00577"
"C00003","C00579"
"C00003","C00580"
"C00003","C00583"
"C00003","C00584"
"C00003","C00587"
"C00003","C00601"
"C00003","C00603"
"C00003","C00606"
"C00003","C00617"
"C00003","C00618"
"C00003","C00628"
"C00003","C00637"
"C00003","C00639"
"C00003","C00642"
"C00003","C00644"
"C00003","C00671"
"C00003","C00674"
"C00003","C00691"
"C00003","C00695"
"C00003","C00719"
"C00003","C00727"
"C00003","C00735"
"C00003","C00741"
"C00003","C00755"
"C00003","C00756"
"C00003","C00762"
"C00003","C00764"
"C00003","C00770"
"C00003","C00772"
"C00003","C00777"
"C00003","C00794"
"C00003","C00795"
"C00003","C00800"
"C00003","C00802"
"C00003","C00804"
"C00003","C00805"
"C00003","C00809"
"C00003","C00810"
"C00003","C00811"
"C00003","C00817"
"C00003","C00818"
"C00003","C00826"
"C00003","C00829"
"C00003","C00830"
"C00003","C00842"
"C00003","C00854"
"C00003","C00857"
"C00003","C00860"
"C00003","C00869"
"C00003","C00870"
"C00003","C00877"
"C00003","C00879"
"C00003","C00891"
"C00003","C00892"
"C00003","C00894"
"C00003","C00898"
"C00003","C00899"
"C00003","C00905"
"C00003","C00906"
"C00003","C00944"
"C00003","C00951"
"C00003","C00954"
"C00003","C00955"
"C00003","C00956"
"C00003","C00957"
"C00003","C00969"
"C00003","C00971"
"C00003","C00975"
"C00003","C00976"
"C00003","C00989"
"C00003","C01007"
"C00003","C01013"
"C00003","C01019"
"C00003","C01020"
"C00003","C01034"
"C00003","C01041"
"C00003","C01053"
"C00003","C01059"
"C00003","C01062"
"C00003","C01068"
"C00003","C01087"
"C00003","C01088"
"C00003","C01089"
"C00003","C01090"
"C00003","C01096"
"C00003","C01111"
"C00003","C01114"
"C00003","C01115"
"C00003","C01123"
"C00003","C01126"
"C00003","C01133"
"C00003","C01138"
"C00003","C01144"
"C00003","C01146"
"C00003","C01147"
"C00003","C01157"
"C00003","C01161"
"C00003","C01165"
"C00003","C01170"
"C00003","C01176"
"C00003","C01179"
"C00003","C01186"
"C00003","C01198"
"C00003","C01207"
"C00003","C01213"
"C00003","C01215"
"C00003","C01218"
"C00003","C01219"
"C00003","C01221"
"C00003","C01227"
"C00003","C01244"
"C00003","C01249"
"C00003","C01270"
"C00003","C01352"
"C00003","C01380"
"C00003","C01407"
"C00003","C01412"
"C00003","C01432"
"C00003","C01455"
"C00003","C01468"
"C00003","C01488"
"C00003","C01489"
"C00003","C01499"
"C00003","C01500"
"C00003","C01504"
"C00003","C01507"
"C00003","C01545"
"C00003","C01569"
"C00003","C01616"
"C00003","C01617"
"C00003","C01697"
"C00003","C01710"
"C00003","C01717"
"C00003","C01719"
"C00003","C01722"
"C00003","C01748"
"C00003","C01751"
"C00003","C01759"
"C00003","C01760"
"C00003","C01766"
"C00003","C01769"
"C00003","C01771"
"C00003","C01772"
"C00003","C01818"
"C00003","C01825"
"C00003","C01826"
"C00003","C01847"
"C00003","C01876"
"C00003","C01888"
"C00003","C01892"
"C00003","C01904"
"C00003","C01929"
"C00003","C01953"
"C00003","C01969"
"C00003","C01983"
"C00003","C01984"
"C00003","C01986"
"C00003","C02015"
"C00003","C02020"
"C00003","C02022"
"C00003","C02043"
"C00003","C02097"
"C00003","C02110"
"C00003","C02137"
"C00003","C02140"
"C00003","C02165"
"C00003","C02170"
"C00003","C02206"
"C00003","C02217"
"C00003","C02222"
"C00003","C02232"
"C00003","C02235"
"C00003","C02236"
"C00003","C02247"
"C00003","C02266"
"C00003","C02274"
"C00003","C02287"
"C00003","C02344"
"C00003","C02359"
"C00003","C02360"
"C00003","C02364"
"C00003","C02431"
"C00003","C02452"
"C00003","C02457"
"C00003","C02463"
"C00003","C02485"
"C00003","C02497"
"C00003","C02499"
"C00003","C02513"
"C00003","C02526"
"C00003","C02533"
"C00003","C02537"
"C00003","C02576"
"C00003","C02593"
"C00003","C02630"
"C00003","C02636"
"C00003","C02637"
"C00003","C02648"
"C00003","C02669"
"C00003","C02670"
"C00003","C02759"
"C00003","C02771"
"C00003","C02774"
"C00003","C02804"
"C00003","C02814"
"C00003","C02835"
"C00003","C02909"
"C00003","C02923"
"C00003","C02946"
"C00003","C02949"
"C00003","C02991"
"C00003","C03012"
"C00003","C03034"
"C00003","C03037"
"C00003","C03042"
"C00003","C03044"
"C00003","C03045"
"C00003","C03046"
"C00003","C03052"
"C00003","C03070"
"C00003","C03072"
"C00003","C03077"
"C00003","C03087"
"C00003","C03164"
"C00003","C03167"
"C00003","C03194"
"C00003","C03203"
"C00003","C03205"
"C00003","C03210"
"C00003","C03223"
"C00003","C03232"
"C00003","C03233"
"C00003","C03273"
"C00003","C03277"
"C00003","C03338"
"C00003","C03383"
"C00003","C03393"
"C00003","C03401"
"C00003","C03434"
"C00003","C03448"
"C00003","C03459"
"C00003","C03461"
"C00003","C03474"
"C00003","C03476"
"C00003","C03485"
"C00003","C03505"
"C00003","C03564"
"C00003","C03569"
"C00003","C03594"
"C00003","C03656"
"C00003","C03671"
"C00003","C03739"
"C00003","C03765"
"C00003","C03790"
"C00003","C03817"
"C00003","C03826"
"C00003","C03827"
"C00003","C03836"
"C00003","C03852"
"C00003","C03894"
"C00003","C03901"
"C00003","C03912"
"C00003","C03917"
"C00003","C03972"
"C00003","C03979"
"C00003","C04043"
"C00003","C04044"
"C00003","C04045"
"C00003","C04050"
"C00003","C04076"
"C00003","C04091"
"C00003","C04137"
"C00003","C04171"
"C00003","C04186"
"C00003","C04203"
"C00003","C04236"
"C00003","C04281"
"C00003","C04295"
"C00003","C04297"
"C00003","C04314"
"C00003","C04349"
"C00003","C04367"
"C00003","C04371"
"C00003","C04411"
"C00003","C04435"
"C00003","C04445"
"C00003","C04453"
"C00003","C04468"
"C00003","C04554"
"C00003","C04573"
"C00003","C04575"
"C00003","C04577"
"C00003","C04592"
"C00003","C04596"
"C00003","C04604"
"C00003","C04638"
"C00003","C04642"
"C00003","C04643"
"C00003","C04646"
"C00003","C04670"
"C00003","C04671"
"C00003","C04687"
"C00003","C04707"
"C00003","C04742"
"C00003","C04783"
"C00003","C04796"
"C00003","C04840"
"C00003","C05130"
"C00003","C05133"
"C00003","C05138"
"C00003","C05141"
"C00003","C05161"
"C00003","C05165"
"C00003","C05194"
"C00003","C05235"
"C00003","C05258"
"C00003","C05259"
"C00003","C05260"
"C00003","C05261"
"C00003","C05262"
"C00003","C05263"
"C00003","C05268"
"C00003","C05269"
"C00003","C05284"
"C00003","C05298"
"C00003","C05300"
"C00003","C05301"
"C00003","C05307"
"C00003","C05345"
"C00003","C05375"
"C00003","C05406"
"C00003","C05444"
"C00003","C05445"
"C00003","C05448"
"C00003","C05449"
"C00003","C05450"
"C00003","C05451"
"C00003","C05452"
"C00003","C05453"
"C00003","C05454"
"C00003","C05455"
"C00003","C05467"
"C00003","C05471"
"C00003","C05472"
"C00003","C05473"
"C00003","C05474"
"C00003","C05475"
"C00003","C05476"
"C00003","C05477"
"C00003","C05478"
"C00003","C05482"
"C00003","C05483"
"C00003","C05485"
"C00003","C05487"
"C00003","C05488"
"C00003","C05490"
"C00003","C05527"
"C00003","C05528"
"C00003","C05533"
"C00003","C05548"
"C00003","C05568"
"C00003","C05576"
"C00003","C05577"
"C00003","C05580"
"C00003","C05581"
"C00003","C05582"
"C00003","C05585"
"C00003","C05593"
"C00003","C05607"
"C00003","C05610"
"C00003","C05618"
"C00003","C05629"
"C00003","C05649"
"C00003","C05650"
"C00003","C05654"
"C00003","C05655"
"C00003","C05662"
"C00003","C05772"
"C00003","C05778"
"C00003","C05823"
"C00003","C05825"
"C00003","C05852"
"C00003","C05853"
"C00003","C05927"
"C00003","C05933"
"C00003","C05936"
"C00003","C05938"
"C00003","C05947"
"C00003","C05949"
"C00003","C05960"
"C00003","C05979"
"C00003","C05985"
"C00003","C06001"
"C00003","C06002"
"C00003","C06017"
"C00003","C06032"
"C00003","C06044"
"C00003","C06047"
"C00003","C06050"
"C00003","C06054"
"C00003","C06055"
"C00003","C06102"
"C00003","C06103"
"C00003","C06105"
"C00003","C06108"
"C00003","C06142"
"C00003","C06144"
"C00003","C06145"
"C00003","C06153"
"C00003","C06240"
"C00003","C06318"
"C00003","C06321"
"C00003","C06326"
"C00003","C06327"
"C00003","C06329"
"C00003","C06330"
"C00003","C06337"
"C00003","C06338"
"C00003","C06341"
"C00003","C06342"
"C00003","C06343"
"C00003","C06406"
"C00003","C06451"
"C00003","C06548"
"C00003","C06576"
"C00003","C06577"
"C00003","C06578"
"C00003","C06579"
"C00003","C06580"
"C00003","C06584"
"C00003","C06585"
"C00003","C06586"
"C00003","C06588"
"C00003","C06589"
"C00003","C06599"
"C00003","C06600"
"C00003","C06611"
"C00003","C06612"
"C00003","C06613"
"C00003","C06644"
"C00003","C06649"
"C00003","C06650"
"C00003","C06672"
"C00003","C06677"
"C00003","C06678"
"C00003","C06688"
"C00003","C06711"
"C00003","C06712"
"C00003","C06714"
"C00003","C06715"
"C00003","C06717"
"C00003","C06718"
"C00003","C06720"
"C00003","C06721"
"C00003","C06722"
"C00003","C06727"
"C00003","C06728"
"C00003","C06729"
"C00003","C06730"
"C00003","C06731"
"C00003","C06735"
"C00003","C06736"
"C00003","C06737"
"C00003","C06749"
"C00003","C06757"
"C00003","C06758"
"C00003","C06760"
"C00003","C06793"
"C00003","C06813"
"C00003","C06899"
"C00003","C06990"
"C00003","C07024"
"C00003","C07083"
"C00003","C07084"
"C00003","C07085"
"C00003","C07086"
"C00003","C07092"
"C00003","C07093"
"C00003","C07096"
"C00003","C07097"
"C00003","C07100"
"C00003","C07101"
"C00003","C07111"
"C00003","C07113"
"C00003","C07130"
"C00003","C07209"
"C00003","C07216"
"C00003","C07271"
"C00003","C07276"
"C00003","C07328"
"C00003","C07329"
"C00003","C07335"
"C00003","C07478"
"C00003","C07480"
"C00003","C07490"
"C00003","C07535"
"C00003","C07635"
"C00003","C07645"
"C00003","C07646"
"C00003","C07715"
"C00003","C07720"
"C00003","C07721"
"C00003","C07722"
"C00003","C07727"
"C00003","C07728"
"C00003","C07729"
"C00003","C08060"
"C00003","C08061"
"C00003","C08492"
"C00003","C08607"
"C00003","C08794"
"C00003","C09592"
"C00003","C09593"
"C00003","C09804"
"C00003","C09812"
"C00003","C09813"
"C00003","C09821"
"C00003","C09848"
"C00003","C09849"
"C00003","C10101"
"C00003","C10447"
"C00003","C10700"
"C00003","C11006"
"C00003","C11101"
"C00003","C11145"
"C00003","C11148"
"C00003","C11150"
"C00003","C11249"
"C00003","C11272"
"C00003","C11348"
"C00003","C11383"
"C00003","C11384"
"C00003","C11386"
"C00003","C11387"
"C00003","C11396"
"C00003","C11397"
"C00003","C11398"
"C00003","C11399"
"C00003","C11401"
"C00003","C11409"
"C00003","C11410"
"C00003","C11411"
"C00003","C11412"
"C00003","C11413"
"C00003","C11415"
"C00003","C11422"
"C00003","C11429"
"C00003","C11431"
"C00003","C11432"
"C00003","C11457"
"C00003","C11496"
"C00003","C11497"
"C00003","C11498"
"C00003","C11499"
"C00003","C11502"
"C00003","C11505"
"C00003","C11506"
"C00003","C11507"
"C00003","C11537"
"C00003","C11588"
"C00003","C11638"
"C00003","C11821"
"C00003","C11822"
"C00003","C11848"
"C00003","C11937"
"C00003","C11942"
"C00003","C11943"
"C00003","C11944"
"C00003","C11947"
"C00003","C11948"
"C00003","C12313"
"C00003","C12436"
"C00003","C12622"
"C00003","C12623"
"C00003","C12831"
"C00003","C12832"
"C00003","C12835"
"C00003","C12836"
"C00003","C12837"
"C00003","C13050"
"C00003","C13453"
"C00003","C13455"
"C00003","C13624"
"C00003","C13629"
"C00003","C13638"
