ids,rel.ids,mzs,RTs,Int,Compound ID,Formula,Adduct,isotope,charge
32,4,374.0543982,199.2838374,15.49327394,C00005,C20[13]C1H32N7O17P3,M+2H,iso,2
33,4,1491.189675,201.6892293,34.38513257,C00005,C42H61N14O34P6,2M+H,mono,1
34,4,1492.192969,201.1718159,15.61981055,C00005,C41[13]C1H61N14O34P6,2M+H,iso,1
35,5,745.0908077,150.8008496,77.8,C00006,C21H30N7O17P3,M+H,mono,1
36,5,746.0935848,147.8862534,17.67073688,C00006,C20[13]C1H30N7O17P3,M+H,iso,1
37,5,767.0732882,149.2610929,30.69821582,C00006,C21H29N7O17P3Na1,M+Na,mono,1
38,5,768.0758305,149.0470472,6.97249479,C00006,C20[13]C1H29N7Na1O17P3,M+Na,iso,1
39,5,373.0495333,150.2593852,57.70527787,C00006,C21H31N7O17P3,M+2H,mono,2
40,5,373.5508324,147.7106629,13.10661674,C00006,C20[13]C1H31N7O17P3,M+2H,iso,2
41,5,1489.173905,150.4845135,42.62580202,C00006,C42H59N14O34P6,2M+H,mono,1
42,5,1490.178428,149.9786939,19.3632219,C00006,C41[13]C1H59N14O34P6,2M+H,iso,1
43,6,149.0815059,250.372703,34.9,C00418,C6H13O4,M+H,mono,1
44,6,171.0633584,251.0296463,17.81676029,C00418,C6H12O4Na1,M+Na,mono,1
45,6,75.04457631,249.3191901,26.0587297,C00418,C6H14O4,M+2H,mono,2
46,6,297.1549015,248.6135762,26.45406269,C00418,C12H25O8,2M+H,mono,1
47,7,508.0039489,209.776546,6.7,C00002,C10H17N5O13P3,M+H,mono,1
48,7,529.9857741,210.6811883,5.37386108,C00002,C10H16N5O13P3Na1,M+Na,mono,1
49,7,254.5058639,209.5508891,2.417308533,C00002,C10H18N5O13P3,M+2H,mono,2
50,7,1014.999033,209.9099218,4.338551117,C00002,C20H33N10O26P6,2M+H,mono,1
51,8,428.0370838,210.1873745,9.8,C00008,C10H16N5O10P2,M+H,mono,1
52,8,450.0191757,208.91051,5.972707493,C00008,C10H15N5O10P2Na1,M+Na,mono,1
53,8,214.5225982,210.3942179,2.759001155,C00008,C10H17N5O10P2,M+2H,mono,2
54,8,855.0670698,210.8990062,2.824501424,C00008,C20H31N10O20P4,2M+H,mono,1
55,9,229.0475183,309.0930753,35.8,C01107,C6H14O7P1,M+H,mono,1
56,9,251.0297196,310.7588252,12.15679683,C01107,C6H13O7P1Na1,M+Na,mono,1
57,9,115.0277091,309.6018623,19.30037033,C01107,C6H15O7P1,M+2H,mono,2
58,9,457.0876649,309.9871783,31.03174622,C01107,C12H27O14P2,2M+H,mono,1
59,10,309.0138622,708.179891,71.3,C01143,C6H15O10P2,M+H,mono,1
60,10,330.9957759,711.8263907,38.88670918,C01143,C6H14O10P2Na1,M+Na,mono,1
61,10,155.0108858,709.3653256,55.03831874,C01143,C6H16O10P2,M+2H,mono,2
62,10,617.0202802,711.5271677,29.96519983,C01143,C12H29O20P4,2M+H,mono,1
63,11,247.0135582,630.7322855,44.2,C00129,C5H13O7P2,M+H,mono,1
64,11,268.9955644,629.915692,25.67515505,C00129,C5H12O7P2Na1,M+Na,mono,1
65,11,124.0107451,630.9169602,12.62572215,C00129,C5H14O7P2,M+2H,mono,2
66,11,493.0192482,628.8881877,19.96592024,C00129,C10H25O14P4,2M+H,mono,1
67,12,247.0137026,513.8800911,49.3,C00235,C5H13O7P2,M+H,mono,1
68,12,268.9955444,512.5304957,34.18190447,C00235,C5H12O7P2Na1,M+Na,mono,1
69,12,124.0107381,514.401367,35.36668864,C00235,C5H14O7P2,M+2H,mono,2
70,12,493.0197176,514.2499912,16.74792711,C00235,C10H25O14P4,2M+H,mono,1
71,13,239.20096,409.5756918,24.5,HMDB0032291,C15H27O2,M+H,mono,1
72,13,261.1829856,410.3128104,12.42018626,HMDB0032291,C15H26O2Na1,M+Na,mono,1
73,13,120.1044771,410.3134035,18.22542644,HMDB0032291,C15H28O2,M+2H,mono,2
74,13,477.3945202,410.1270421,17.26567793,HMDB0032291,C30H53O4,2M+H,mono,1
75,13,478.3973055,409.6719278,5.602226439,HMDB0032291,C29[13]C1H53O4,2M+H,iso,1
76,14,137.1329021,479.8142831,74.8,C00521,C10H17,M+H,mono,1
77,14,138.1357475,479.3914497,8.090164763,C00521,C9[13]C1H17,M+H,iso,1
78,14,159.1149457,479.6785866,54.39476017,C00521,C10H16Na1,M+Na,mono,1
79,14,160.1177543,480.7791815,5.883189466,C00521,C9[13]C1H16Na1,M+Na,iso,1
80,14,69.07042006,479.057435,62.82151423,C00521,C10H18,M+2H,mono,2
81,14,69.57148379,478.2221327,6.794604288,C00521,C9[13]C1H18,M+2H,iso,2
82,14,273.2583819,479.482975,23.79493075,C00521,C20H33,2M+H,mono,1
83,14,274.2610323,480.8339038,5.147190114,C00521,C19[13]C1H33,2M+H,iso,1
