ids,rel.ids,mzs,RTs,Int,Compound ID,Formula,Adduct,isotope,charge
27,3,454.5710726,120.0526261,18.10242472,C00356,C27H42N7O20P3S1,M-2H,mono,-2
28,3,455.0731543,119.8430109,5.286354494,C00356,C26[13]C1H42N7O20P3S1,M-2H,iso,-2
29,3,2732.462478,121.0670696,31.69236269,C00356,C81H131N21O60P9S3,3M-H,mono,-1
30,3,2733.467584,120.1785613,27.76485468,C00356,C80[13]C1H131N21O60P9S3,3M-H,iso,-1
31,3,2734.47171,119.3718189,12.01188497,C00356,C79[13]C2H131N21O60P9S3,3M-H,iso,-1
32,4,744.0832945,201.0634172,44.10577089,C00005,C21H29N7O17P3,M-H,mono,-1
33,4,745.0880903,200.2689991,10.01775672,C00005,C20[13]C1H29N7O17P3,M-H,iso,-1
34,4,1489.175111,199.7776662,47.21899622,C00005,C42H59N14O34P6,2M-H,mono,-1
35,4,1490.17834,201.5614253,21.449729,C00005,C41[13]C1H59N14O34P6,2M-H,iso,-1
36,4,371.5378001,200.3616389,61.27176853,C00005,C21H28N7O17P3,M-2H,mono,-2
37,4,372.0395777,201.0823311,13.91667481,C00005,C20[13]C1H28N7O17P3,M-2H,iso,-2
38,4,2234.263681,199.2371271,58.38756422,C00005,C63H89N21O51P9,3M-H,mono,-1
39,4,2235.269636,199.8143149,39.78475391,C00005,C62[13]C1H89N21O51P9,3M-H,iso,-1
40,4,2236.269842,199.4965638,6.119289713,C00005,C63H89N21O50[18]O1P9,3M-H,iso,-1
41,4,2236.27252,201.0446958,13.33933374,C00005,C61[13]C2H89N21O51P9,3M-H,iso,-1
42,5,743.0754086,150.0582799,50.22406821,C00006,C21H28N7O17P3,M-H,mono,-1
43,5,744.0793852,151.9275241,11.40740738,C00006,C20[13]C1H28N7O17P3,M-H,iso,-1
44,5,1487.158682,150.3828159,64.64966456,C00006,C42H57N14O34P6,2M-H,mono,-1
45,5,1488.163392,149.2903318,29.36779466,C00006,C41[13]C1H57N14O34P6,2M-H,iso,-1
46,5,1489.166248,149.1058665,6.511498795,C00006,C40[13]C2H57N14O34P6,2M-H,iso,-1
47,5,371.0336905,150.7301755,36.60210275,C00006,C21H27N7O17P3,M-2H,mono,-2
48,5,371.5361778,151.4770418,8.313446364,C00006,C20[13]C1H27N7O17P3,M-2H,iso,-2
49,5,2231.243816,148.8330461,49.69466707,C00006,C63H86N21O51P9,3M-H,mono,-1
50,5,2232.245194,149.476678,33.86149305,C00006,C62[13]C1H86N21O51P9,3M-H,iso,-1
51,5,2233.246373,149.8990913,5.20823345,C00006,C63H86N21O50[18]O1P9,3M-H,iso,-1
52,5,2233.250715,151.1491428,11.35333796,C00006,C61[13]C2H86N21O51P9,3M-H,iso,-1
53,6,147.0657686,249.6343198,26.30649295,C00418,C6H11O4,M-H,mono,-1
54,6,295.1392598,249.7537097,15.08897225,C00418,C12H23O8,2M-H,mono,-1
55,6,73.02898333,249.6488295,14.71263373,C00418,C6H10O4,M-2H,mono,-2
56,6,443.2124592,250.4856844,19.26040183,C00418,C18H35O12,3M-H,mono,-1
57,7,505.9877398,209.6008785,5.053279488,C00002,C10H15N5O13P3,M-H,mono,-1
58,7,1012.983027,209.2805585,3.762941447,C00002,C20H31N10O26P6,2M-H,mono,-1
59,7,252.4903249,208.7608574,2.666487883,C00002,C10H14N5O13P3,M-2H,mono,-2
60,7,1519.977059,211.8941647,6.025677287,C00002,C30H47N15O39P9,3M-H,mono,-1
61,8,426.0215015,210.1634328,5.076335247,C00008,C10H14N5O10P2,M-H,mono,-1
62,8,853.0514208,211.6272813,5.620925841,C00008,C20H29N10O20P4,2M-H,mono,-1
63,8,212.5069177,211.6403207,2.599087537,C00008,C10H13N5O10P2,M-2H,mono,-2
64,8,1280.080162,210.2495127,6.132533187,C00008,C30H44N15O30P6,3M-H,mono,-1
65,9,227.0321737,309.4064079,10.21219869,C01107,C6H12O7P1,M-H,mono,-1
66,9,455.0722084,310.6028349,26.77493674,C01107,C12H25O14P2,2M-H,mono,-1
67,9,113.0121348,309.6917506,10.76757139,C01107,C6H11O7P1,M-2H,mono,-2
68,9,683.1119115,309.2561172,16.48348022,C01107,C18H38O21P3,3M-H,mono,-1
69,10,306.9984724,710.8678475,29.75762455,C01143,C6H13O10P2,M-H,mono,-1
70,10,615.0046148,707.9336639,42.60110398,C01143,C12H27O20P4,2M-H,mono,-1
71,10,616.0083758,711.2707102,5.529143588,C01143,C11[13]C1H27O20P4,2M-H,iso,-1
72,10,152.9952729,711.0268869,23.55497296,C01143,C6H12O10P2,M-2H,mono,-2
73,10,923.0111475,709.9938089,43.15616806,C01143,C18H41O30P6,3M-H,mono,-1
74,10,924.0146738,709.2377737,8.401776983,C01143,C17[13]C1H41O30P6,3M-H,iso,-1
75,11,244.9980424,629.651708,25.48520435,C00129,C5H11O7P2,M-H,mono,-1
76,11,491.0040812,630.8090249,29.42267229,C00129,C10H23O14P4,2M-H,mono,-1
77,11,121.9950411,628.398723,19.14886116,C00129,C5H10O7P2,M-2H,mono,-2
78,11,737.0096255,629.3624139,13.73666435,C00129,C15H35O21P6,3M-H,mono,-1
79,12,244.9978973,515.3925712,33.84058146,C00235,C5H11O7P2,M-H,mono,-1
80,12,491.0036021,515.2344444,42.210757,C00235,C10H23O14P4,2M-H,mono,-1
81,12,121.9950595,514.7129482,25.96527072,C00235,C5H10O7P2,M-2H,mono,-2
82,12,737.0098468,514.5188393,33.81561436,C00235,C15H35O21P6,3M-H,mono,-1
83,12,738.0137671,515.4877521,5.486107454,C00235,C14[13]C1H35O21P6,3M-H,iso,-1
84,13,237.185539,408.351122,10.68310403,HMDB0032291,C15H25O2,M-H,mono,-1
85,13,475.3787606,411.6150192,12.28722713,HMDB0032291,C30H51O4,2M-H,mono,-1
86,13,118.0887698,411.0964944,17.7560868,HMDB0032291,C15H24O2,M-2H,mono,-2
87,13,713.5724168,408.6108644,12.57252254,HMDB0032291,C45H77O6,3M-H,mono,-1
88,13,714.5761553,410.7034455,6.11914445,HMDB0032291,C44[13]C1H77O6,3M-H,iso,-1
89,14,135.1172659,480.621967,39.34945239,C00521,C10H15,M-H,mono,-1
90,14,271.2426728,479.3070026,33.42521543,C00521,C20H31,2M-H,mono,-1
91,14,272.2466406,478.9815598,7.230360964,C00521,C19[13]C1H31,2M-H,iso,-1
92,14,67.05475204,479.2081138,47.18156635,C00521,C10H14,M-2H,mono,-2
93,14,67.55696504,481.4744873,5.103030021,C00521,C9[13]C1H14,M-2H,iso,-2
94,14,407.367667,480.6467708,23.79802256,C00521,C30H47,3M-H,mono,-1
95,14,408.371564,479.8802257,7.721788377,C00521,C29[13]C1H47,3M-H,iso,-1
