"ids","rel.ids","mzs","RTs","Int","Compound.ID","Formula","Adduct","post IPA1"
41,5,1489.173905,150.4845135,42.62580202,"C00006","C42H59N14O34P6","2M+H",0.99425
43,6,149.0815059,250.372703,34.9,"C00418","C6H13O4","M+H",0.85125
44,6,171.0633584,251.0296463,17.81676029,"C00418","C6H12O4Na1","M+Na",0.4545
45,6,75.04457631,249.3191901,26.0587297,"C00418","C6H14O4","M+2H",0.34325
46,6,297.1549015,248.6135762,26.45406269,"C00418","C12H25O8","2M+H",0.45225
47,7,508.0039489,209.776546,6.7,"C00002","C10H17N5O13P3","M+H",0.961
48,7,529.9857741,210.6811883,5.37386108,"C00002","C10H16N5O13P3Na1","M+Na",0.8075
49,7,254.5058639,209.5508891,2.417308533,"C00002","C10H18N5O13P3","M+2H",0.80525
50,7,1014.999033,209.9099218,4.338551117,"C00002","C20H33N10O26P6","2M+H",0.8035
51,8,428.0370838,210.1873745,9.8,"C00008","C10H16N5O10P2","M+H",0.9495
52,8,450.0191757,208.91051,5.972707493,"C00008","C10H15N5O10P2Na1","M+Na",0.75275
53,8,214.5225982,210.3942179,2.759001155,"C00008","C10H17N5O10P2","M+2H",0.7525
54,8,855.0670698,210.8990062,2.824501424,"C00008","C20H31N10O20P4","2M+H",0.75025
55,9,229.0475183,309.0930753,35.8,"C01107","C6H14O7P1","M+H",0.93075
56,9,251.0297196,310.7588252,12.15679683,"C01107","C6H13O7P1Na1","M+Na",0.75025
57,9,115.0277091,309.6018623,19.30037033,"C01107","C6H15O7P1","M+2H",0.77225
58,9,457.0876649,309.9871783,31.03174622,"C01107","C12H27O14P2","2M+H",0.77475
59,10,309.0138622,708.179891,71.3,"C01143","C6H15O10P2","M+H",0.91725
60,10,330.9957759,711.8263907,38.88670918,"C01143","C6H14O10P2Na1","M+Na",0.7055
61,10,155.0108858,709.3653256,55.03831874,"C01143","C6H16O10P2","M+2H",0.6425
62,10,617.0202802,711.5271677,29.96519983,"C01143","C12H29O20P4","2M+H",0.711
63,11,247.0135582,630.7322855,44.2,"C00129","C5H13O7P2","M+H",0.73425
64,11,268.9955644,629.915692,25.67515505,"C00129","C5H12O7P2Na1","M+Na",0.6705
65,11,124.0107451,630.9169602,12.62572215,"C00129","C5H14O7P2","M+2H",0.6835
66,11,493.0192482,628.8881877,19.96592024,"C00129","C10H25O14P4","2M+H",0.673
67,12,247.0137026,513.8800911,49.3,"C00235","C5H13O7P2","M+H",0.2895
68,12,268.9955444,512.5304957,34.18190447,"C00235","C5H12O7P2Na1","M+Na",0.318
69,12,124.0107381,514.401367,35.36668864,"C00235","C5H14O7P2","M+2H",0.31875
70,12,493.0197176,514.2499912,16.74792711,"C00235","C10H25O14P4","2M+H",0.314
71,13,239.20096,409.5756918,24.5,"HMDB0032291","C15H27O2","M+H",0.70575
72,13,261.1829856,410.3128104,12.42018626,"HMDB0032291","C15H26O2Na1","M+Na",0.42225
73,13,120.1044771,410.3134035,18.22542644,"HMDB0032291","C15H28O2","M+2H",0.41025
74,13,477.3945202,410.1270421,17.26567793,"HMDB0032291","C30H53O4","2M+H",0.3815
76,14,137.1329021,479.8142831,74.8,"C00521","C10H17","M+H",0.1405
78,14,159.1149457,479.6785866,54.39476017,"C00521","C10H16Na1","M+Na",0.0755
80,14,69.07042006,479.057435,62.82151423,"C00521","C10H18","M+2H",0.05425
82,14,273.2583819,479.482975,23.79493075,"C00521","C20H33","2M+H",0.04375
